"Symbol","Name","IPO date","Market cap","IPO book value","Last Close Price","Price over book %","Shares outstanding","Average trading volume","% traded","Action"
"VCXB","10X Capital Venture Acquisition Corp. III","03/03/2022","$322,436,665","10.00","10.25","2.50","31,153,000","16,684","0.05%","Analyze"
"AGAC","African Gold Acquisition Corporation Class A","03/25/2021","$423,729,000","10.00","10.24","2.40","41,400,000","17,921","0.04%","Analyze"
"ATEK","Athena Technology Acquisition Corp. II Class A","01/28/2022","$269,606,400","10.00","10.24","2.40","26,328,750","185,391","0.70%","Analyze"
"CHAA","Catcha Investment Corp. Class A","10/31/2013","$307,200,000","10.00","10.24","2.40","30,000,000","13,006","0.04%","Analyze"
"CPUH","Compute Health Acquisition Corp. Class A","03/29/2021","$1,104,000,000","10.00","10.24","2.40","107,812,500","28,021","0.03%","Analyze"
"TCOA","Trajectory Alpha Acquisition Corp. Class A","01/31/2022","$176,640,000","10.00","10.24","2.40","17,250,000","59,401","0.34%","Analyze"
"XPDB","Power & Digital Infrastructure Acquisition II Corp. Class A","01/31/2022","$294,400,000","10.00","10.24","2.40","28,750,000","332,888","1.16%","Analyze"
"APGB","Apollo Strategic Growth Capital II Class A","04/05/2021","$705,180,000","10.00","10.23","2.30","69,000,000","449,529","0.65%","Analyze"
"DRAY","Macondray Capital Acquisition Corp. I Class A","08/19/2021","$0","10.00","10.23","2.30","28,750,000","5,647","0.02%","Analyze"
"ERES","East Resources Acquisition Company - Class A","09/14/2020","$99,619,463","10.00","10.23","2.30","9,718,972","1,168","0.01%","Analyze"
"GIAC","Gesher I Acquisition Corp. Class A","11/09/2021","$149,103,708","10.00","10.23","2.30","14,575,000","34,100","0.23%","Analyze"
"INAQ","Insight Acquisition Corp. Class A","10/25/2021","$306,900,000","10.00","10.23","2.30","30,000,000","2,471","0.01%","Analyze"
"PLMI","Plum Acquisition Corp. I Class A Ordinary Share","05/05/2021","$328,473,614","10.00","10.23","2.30","31,921,634","64,519","0.20%","Analyze"
"PLTN","Plutonian Acquisition Corp.","01/11/2023","$58,822,500","10.00","10.23","2.30","5,750,000","48,863","0.85%","Analyze"
"QDRO","Quadro Acquisition One Corp. - Class A","02/27/2023","$235,060,000","10.00","10.23","2.30","23,000,000","5,281","0.02%","Analyze"
"TRCA","Twin Ridge Capital Acquisition Corp. Class A","04/26/2021","$217,989,157","10.00","10.23","2.30","21,308,813","78,709","0.37%","Analyze"
"AXH","Industrial Human Capital, Inc.","05/26/2005","$146,912,500","10.00","10.22","2.20","14,375,000","400","0.00%","Analyze"
"BITE","Bite Acquisition Corp.","04/05/2021","$262,040,800","10.00","10.22","2.20","25,640,000","8,439","0.03%","Analyze"
"DMYS","dMY Technology Group, Inc. VI Class A","11/22/2021","$246,813,000","10.00","10.22","2.20","24,150,000","89,081","0.37%","Analyze"
"EOCW","Elliott Opportunity II Corp. Class A","08/19/2021","$622,909,000","10.00","10.22","2.20","60,950,000","267,246","0.44%","Analyze"
"GFGD","The Growth for Good Acquisition Corporation Class A","01/31/2022","$266,481,000","10.00","10.22","2.20","26,100,000","74,101","0.28%","Analyze"
"HPLT","Home Plate Acquisition Corporation Class A","11/22/2021","$204,400,000","10.00","10.22","2.20","20,000,000","56,593","0.28%","Analyze"
"JUGG","Jaws Juggernaut Acquisition Corporation Class A Ordinary Share","08/09/2021","$282,072,000","10.00","10.22","2.20","27,600,000","216,752","0.79%","Analyze"
"MSDA","MSD Acquisition Corp. Class A","05/17/2021","$587,644,250","10.00","10.22","2.20","57,500,000","104,841","0.18%","Analyze"
"ORIA","Orion Biotech Opportunities Corp. - Class A","07/02/2021","$204,700,000","10.00","10.22","2.20","20,000,000","167,536","0.84%","Analyze"
"RCAC","Revelstone Capital Acquisition Corp. Class A","02/07/2022","$168,630,000","10.00","10.22","2.20","16,500,000","22,335","0.14%","Analyze"
"RONI","Rice Acquisition Corp. II Class A","08/06/2021","$352,615,550","10.00","10.22","2.20","34,502,500","248,441","0.72%","Analyze"
"ROSS","Ross Acquisition Corp II Class A","02/17/2006","$352,590,000","10.00","10.22","2.20","34,500,000","57,194","0.17%","Analyze"
"SGII","Seaport Global Acquisition II Corp. Class A","11/30/2021","$184,718,750","10.00","10.22","2.20","17,968,750","77,735","0.43%","Analyze"
"TCVA","TCV Acquisition Corp. Class A","04/07/2021","$420,042,000","10.00","10.22","2.20","41,100,000","360,596","0.88%","Analyze"
"TWOA","two Class A","03/30/2021","$218,876,875","10.00","10.22","2.20","21,437,500","159,783","0.75%","Analyze"
"VLAT","Valor Latitude Acquisition Corp. Class A","06/23/2021","$235,060,000","10.00","10.22","2.20","23,000,000","58,710","0.26%","Analyze"
"BNNR","Banner Acquisition Corp. Class A","10/29/2021","$160,611,000","10.00","10.21","2.10","15,700,000","61,071","0.39%","Analyze"
"BSAQ","Black Spade Acquisition Co Class A","09/07/2021","$172,380,000","10.00","10.21","2.10","16,900,000","54,332","0.32%","Analyze"
"DNAD","Social Capital Suvretta Holdings Corp. IV Class A","06/21/2001","$261,784,400","10.00","10.21","2.10","25,640,000","17,606","0.07%","Analyze"
"ESM","ESM Acquisition Corporation Class A","04/30/2021","$313,278,995","10.00","10.21","2.10","30,694,067","27,068","0.09%","Analyze"
"FICV","Frontier Investment Corp Class A","08/23/2021","$204,200,000","10.00","10.21","2.10","20,000,000","11,699","0.06%","Analyze"
"FLAG","First Light Acquisition Group, Inc. Class A","11/01/2021","$293,537,500","10.00","10.21","2.10","28,750,000","20,807","0.07%","Analyze"
"IBER","Ibere Pharmaceuticals Class A","04/19/2021","$140,760,000","10.00","10.21","2.10","13,800,000","548","0.00%","Analyze"
"MITA","Coliseum Acquisition Corp. Class A Ordinary Share","01/03/2000","$153,150,000","10.00","10.21","2.10","15,000,000","58,806","0.39%","Analyze"
"MTAL","Metals Acquisition Corp Class A","09/19/2021","$270,848,478","10.00","10.21","2.10","26,514,780","116,215","0.44%","Analyze"
"SANB","Sanaby Health Acquisition Corp. I - Class A","11/09/2021","$0","10.00","10.21","2.10","17,250,000","113,173","0.66%","Analyze"
"ACQR","Independence Holdings Corp. Class A Ordinary Share","04/29/2021","$428,318,746","10.00","10.20","2.00","42,033,243","33,975","0.08%","Analyze"
"AFTR","AfterNext HealthTech Acquisition Corp. Class A","10/04/2021","$255,000,000","10.00","10.20","2.00","25,000,000","7,576","0.03%","Analyze"
"BACA","Berenson Acquisition Corp. I Class A","11/18/2021","$280,464,450","10.00","10.20","2.00","27,510,000","295,894","1.08%","Analyze"
