"Symbol","Name","SPAC IPO date","SPAC merger completion date","Market cap","Industry","Momentum factor 10","Momentum factor 200","Last Close Price","Shares outstanding","Average trading volume","% traded","Action"
"SABS","SAB Biotherapeutics, Inc.","02/09/2021","10/22/2021","$25,198,881","Biotechnology","0.94","0.56","0.55","50,397,762","28,405","0.06%","Analyze"
"MIR","Mirion Technologies, Inc. Class A","08/20/2020","10/20/2021","$1,615,802,665","Specialty Industrial Machinery","0.98","1.05","7.43","217,470,076","2,219,120","1.02%","Analyze"
"WE","WeWork Inc. Class A","10/21/2020","10/20/2021","$601,847,822","Real Estate Services","0.88","0.26","0.85","708,056,261","9,796,739","1.38%","Analyze"
"NVTS","Navitas Semiconductor Corporation","10/18/2021","10/19/2021","$1,045,611,578","Semiconductors","1.10","1.46","7.10","151,978,427","2,038,851","1.34%","Analyze"
"BKKT","Bakkt Holdings, Inc. Class A","11/19/2020","10/15/2021","$121,818,975","Software—Infrastructure","1.16","0.74","1.55","78,592,887","2,819,741","3.59%","Analyze"
"ENJY","Enjoy Technology, Inc.","10/13/2021","10/15/2021","$33,448,186","Software—Application","0.68","0.73","0.19","120,707,693","19,652,102","16.28%","Analyze"
"GWH","ESS Tech, Inc.","10/11/2021","10/08/2021","$157,394,136","Electrical Equipment & Parts","0.91","0.31","1.02","154,307,976","1,545,225","1.00%","Analyze"
"SNCE","Science 37 Holdings, Inc.","11/23/2020","10/06/2021","$35,404,036","Health Information Services","1.19","0.24","0.34","116,729,430","2,210,405","1.89%","Analyze"
"IONQ","IonQ, Inc.","01/04/2021","09/30/2021","$964,164,658","Computer Hardware","1.01","0.96","4.84","199,207,574","2,714,250","1.36%","Analyze"
"BHIL","Benson Hill, Inc.","09/27/2021","09/29/2021","$248,239,106","Farm Products","0.81","0.43","1.20","206,865,922","600,998","0.29%","Analyze"
"SHPW","Shapeways Holdings, Inc.","11/14/2019","09/29/2021","$20,302,157","Specialty Industrial Machinery","0.98","0.53","0.41","49,217,351","133,768","0.27%","Analyze"
"VLD","Velo3D, Inc.","09/24/2021","09/29/2021","$417,494,978","Computer Hardware","0.89","0.75","2.17","192,393,999","1,989,154","1.03%","Analyze"
"JSPR","Jasper Therapeutics, Inc. - Class A","09/20/2021","09/24/2021","$212,203,356","Biotechnology","1.04","1.36","1.99","109,383,173","1,440,446","1.32%","Analyze"
"STRC","Sarcos Technology and Robotics Corporation","03/08/2021","09/24/2021","$67,444,530","Computer Hardware","0.78","0.21","0.40","154,300,000","548,150","0.36%","Analyze"
"NRDY","Nerdy Inc. Class A","11/27/2020","09/20/2021","$619,197,424","Software—Application","1.07","1.44","3.75","165,119,313","793,697","0.48%","Analyze"
"RBOT","Vicarious Surgical Inc. Class A","09/04/2020","09/17/2021","$159,498,260","Medical Devices","0.65","0.45","1.50","106,332,173","565,728","0.53%","Analyze"
"ACHR","Archer Aviation Inc. Class A","12/18/2020","09/16/2021","$467,308,783","Aerospace & Defense","0.95","0.84","2.53","184,707,029","1,702,381","0.92%","Analyze"
"DNA","Ginkgo Bioworks Holdings, Inc. Class A","04/19/2021","09/16/2021","$1,931,179,227","Biotechnology","0.95","0.51","1.23","1,570,064,412","23,356,863","1.49%","Analyze"
"LFG","Archaea Energy Inc. Class A","12/14/2020","09/15/2021","$2,166,107,960","Utilities—Renewable","1.00","1.25","26.00","83,375,980","1,318,247","1.58%","Analyze"
"HLBZ","Helbiz, Inc. - Class A","12/09/2019","09/10/2021","$31,522,589","Recreational Vehicles","0.90","0.27","0.12","278,468,103","33,807,856","12.14%","Analyze"
"BKSY","BlackSky Technology Inc. Class A","12/20/2019","09/09/2021","$162,628,762","Scientific & Technical Instruments","1.00","0.71","1.34","121,364,748","1,066,765","0.88%","Analyze"
